Talk ID,Date,Time,Origin,Contact ID,Contact Name,Lead ID,Responsible User Name,Chat ID,Status,Duration (sec),First Message Time,First Response Duration (sec)
26564,2025-07-22,07:27:58,Instagram Business,15762008,Contact_bc5a30f4,L_b79b8e18,,Chat_ec5ca069,in_work,,,
26563,2025-07-22,07:27:52,Instagram Business,15762006,Contact_b8ed56cb,L_d7a4eade,,Chat_3fbd52ac,in_work,,,
26562,2025-07-22,07:27:37,WhatsApp (CRM),15761988,Contact_213b461d,L_fb7dc502,,Chat_0f42a6a5,in_work,,,
26561,2025-07-22,07:27:34,WhatsApp (CRM),15761984,Contact_7411f0fa,L_d40cd984,,Chat_1a1b9d87,in_work,,,
26560,2025-07-22,07:26:45,WhatsApp (CRM),15761948,Contact_d6f1b66d,L_4e85b976,,Chat_f7722c4c,in_work,,,
26559,2025-07-22,07:26:18,WhatsApp (CRM),15761936,Contact_3a52ce78,L_4fc74cc7,,Chat_ee93e566,in_work,,,
26558,2025-07-22,07:26:17,WhatsApp (CRM),15761934,Contact_b2a36865,L_322c0d44,,Chat_7d915fcd,in_work,,,
26557,2025-07-22,07:26:08,WhatsApp (CRM),15761926,Contact_b94f6181,L_cc1188be,,Chat_e6ae4408,in_work,,,
26556,2025-07-22,07:26:07,Instagram Business,15761922,Contact_0c9a8722,L_c3eed779,,Chat_8a1417f0,in_work,,,
26555,2025-07-22,07:26:07,Instagram Business,15761918,Contact_98b5a335,L_5fa145b4,,Chat_5f17ce6e,in_work,,,
26554,2025-07-22,07:25:15,WhatsApp (CRM),15761898,Contact_5c3cb098,L_a84c1dfc,,Chat_208790f1,in_work,,,
26553,2025-07-22,07:25:08,Instagram Business,15761890,Contact_46108ea5,L_e69de443,,Chat_1df97868,in_work,,,
26552,2025-07-22,07:24:12,WhatsApp (CRM),15761864,Contact_878cb1ab,L_b0e11ee5,,Chat_4489460a,in_work,,,
26551,2025-07-22,07:24:02,WhatsApp (CRM),15761860,Contact_3a52ce78,L_07fa97f0,,Chat_b5657d96,in_work,,,
26550,2025-07-22,07:23:54,WhatsApp (CRM),15761856,Contact_64025933,L_f73de469,,Chat_228ca341,in_work,,,
26549,2025-07-22,07:23:35,WhatsApp (CRM),15761852,Contact_faeb2891,L_248d30dd,,Chat_fad39760,in_work,,,
26548,2025-07-22,07:23:27,WhatsApp (CRM),15761850,Contact_9fa81910,L_211133cf,,Chat_f8ee03f0,in_work,,,
26547,2025-07-22,07:23:08,WhatsApp (CRM),15761842,Contact_a36a1d92,L_864a940b,,Chat_d2761ebb,in_work,,,
26546,2025-07-22,07:22:55,WhatsApp (CRM),15761826,Contact_cb9121b2,L_856ee5cd,,Chat_9bce776d,in_work,,,
